-83.254 42.0681,-83.044 42.3433
-83.095 42.3436,-83.0438 42.4469
-83.0952 42.3435,-83.0441 42.4469
-83.0441 42.3435,-83.0438 42.3436
-83.0441 42.3433,-83.044 42.3435
-83.5436 42.2185,-82.9165 42.4507
-83.5436 42.2188,-82.9167 42.4507
-83.4324 42.3937,-83.4235 42.439
-83.4323 42.3966,-83.4239 42.439
-83.044 42.3312,-83.0361 42.3433
-83.0438 42.3309,-83.0359 42.3434
-83.045 42.3433,-83.044 42.3464
-83.0582 42.3684,-83.0581 42.3685
-83.1567 42.3287,-82.9165 42.4507
-83.1567 42.3289,-82.9167 42.4507
-83.4657 42.2199,-83.4453 42.2211
-83.254 42.0681,-83.1713 42.2648
-83.1832 42.2553,-83.1798 42.2594
-83.2551 42.3777,-83.1491 42.3854
-83.2549 42.3782,-83.2186 42.3858
-83.0582 42.3684,-83.0581 42.3685
-83.044 42.3312,-83.0361 42.3433
-83.0952 42.3685,-83.0582 42.4469
-83.095 42.3309,-83.0359 42.4469
-83.4657 42.2199,-83.4453 42.2211
-83.5436 42.2185,-83.4657 42.2199
-83.4453 42.2201,-83.1567 42.3287
-83.5436 42.2188,-83.1567 42.3289
-88.0991 32.7371,-87.7523 33.0173
-88.0993 32.7373,-87.7526 33.0173
-88.0991 32.7371,-87.7523 33.0173
-88.0993 32.7373,-87.7526 33.0173
-85.0877 41.2655,-85.0531 41.5272
-91.0357 41.6331,-90.8995 41.6363
-91.0357 41.6329,-90.8995 41.6361
-91.1142 41.6361,-91.0357 41.6449
-91.1143 41.6363,-91.0357 41.6451
-91.3663 41.6329,-90.8995 41.666
-91.3663 41.6331,-90.8995 41.6662
-86.0295 39.9271,-86.0126 39.9501
-86.0298 39.9271,-86.0099 39.9542
-86.0295 39.9271,-85.8623 39.992
-86.0298 39.9271,-85.8623 39.9923
-86.1788 39.9268,-86.1307 39.9305
-86.1784 39.9268,-86.1314 39.9303
-87.0919 39.9862,-86.6954 40.1101
-86.787 34.6617,-86.5648 34.7584
-86.787 34.6615,-86.5648 34.7582
-85.5535 40.3788,-85.5443 40.4805
-86.0356 39.7925,-86.0308 39.8321
-86.2666 39.6923,-86.0286 39.832
-86.2668 39.6921,-86.0283 39.7923
-86.1866 39.6958,-86.1636 39.7014
-86.0569 39.8923,-86.0298 39.9271
-86.1635 39.6994,-86.1489 39.7019
-86.1774 39.6984,-86.1722 39.6997
-86.0543 39.8946,-86.0295 39.9271
-86.2648 39.6921,-86.0283 39.7729
-86.2645 39.6923,-86.0286 39.7728
-86.202 39.7775,-86.1409 39.8238
-86.1453 39.6366,-86.0743 39.7775
-86.1417 39.7775,-86.1416 39.7776
-86.3262 39.8238,-86.202 39.9153
-86.3262 39.7376,-86.1372 39.9157
-86.0569 39.8923,-86.0298 39.9271
-86.0543 39.8946,-86.0295 39.9271
-86.1437 39.7549,-86.1436 39.7557
-86.1445 39.7562,-86.1431 39.7653
-86.1431 39.7653,-86.1416 39.7776
-86.1434 39.7565,-86.1425 39.7738
-86.0452 39.7985,-85.9529 39.807
-86.1436 39.7776,-86.0453 39.807
-86.3266 39.6862,-86.1436 39.7561
-86.1436 39.7557,-86.1434 39.7565
-86.0369 39.6687,-85.952 39.7322
-86.274 39.6923,-86.0449 39.7947
-86.2743 39.6921,-86.0447 39.7948
-86.1314 39.732,-86.0286 39.9269
-86.2507 39.9236,-86.1788 39.9268
-86.2514 39.9234,-86.1784 39.9268
-86.1217 39.732,-86.0283 39.9243
-86.1307 39.9244,-86.122 39.9269
-100.149 38.9504,-99.5947 39.0241
-100.149 38.9502,-99.5947 39.0239
-100.149 38.9504,-99.5947 39.0241
-100.149 38.9502,-99.5947 39.0239
-85.336 40.9042,-85.3254 40.917
-85.336 40.9038,-85.3251 40.917
-88.4038 32.4488,-88.0991 32.7371
-88.4038 32.449,-88.0993 32.7373
-88.4038 32.4488,-88.0991 32.7371
-88.4038 32.449,-88.0993 32.7373
-86.9113 34.3098,-86.8916 34.5798
-86.911 34.3098,-86.8912 34.5798
-87.0875 33.2855,-86.829 33.5211
-86.829 33.5208,-86.8237 33.522
-86.829 33.5208,-86.8237 33.5215
-87.0875 33.2853,-86.829 33.5209
-87.0875 33.2853,-86.829 33.5209
-87.0875 33.2855,-86.829 33.5211
-86.829 33.5208,-86.8237 33.5215
-86.8237 33.5201,-86.7536 33.5504
-86.829 33.5208,-86.8237 33.522
-86.749 33.5477,-86.5254 33.6993
-86.8286 33.3723,-86.7785 33.5194
-86.8271 33.5194,-86.8259 33.5238
-86.8287 33.3717,-86.7785 33.5194
-86.8271 33.5194,-86.8259 33.5238
-86.8366 33.5238,-86.8054 33.8418
-87.0275 33.3319,-86.6379 33.5964
-87.0272 33.3321,-86.6381 33.5953
-91.6446 30.3635,-91.408 30.4263
-91.6448 30.3636,-91.4083 30.4268
-90.6498 30.0794,-90.4102 30.1204
-90.6498 30.0796,-90.4101 30.1207
-92.1724 30.379,-92.0466 30.7643
-92.2113 30.7685,-92.1779 30.8023
-92.2113 30.7684,-92.1772 30.8028
-92.1724 30.379,-92.0462 30.7647
-92.0776 30.379,-92.0489 30.5841
-92.0779 30.379,-92.0492 30.5843
-91.95 30.2812,-91.6448 30.3636
-91.9499 30.281,-91.6446 30.3635
-89.7433 30.357,-89.6951 30.4627
-89.7429 30.3548,-89.6949 30.4626
-90.2443 30.3035,-89.7311 30.4803
-89.7429 30.301,-89.6949 30.4626
-89.744 30.3002,-89.6951 30.4627
-83.7244 30.3581,-83.1936 30.4455
-81.6769 30.5756,-81.6447 30.7444
-81.6769 30.5756,-81.6447 30.7444
